"Region","Anno","Renovable"
"Colombia",1965,11.788209
"Colombia",1966,12.017394
"Colombia",1967,12.580107
"Colombia",1968,13.300462
"Colombia",1969,14.526139
"Colombia",1970,14.817516
"Colombia",1971,15.987799
"Colombia",1972,15.767954
"Colombia",1973,17.170427
"Colombia",1974,17.39551
"Colombia",1975,19.235607
"Colombia",1976,19.407125
"Colombia",1977,19.36701
"Colombia",1978,20.862885
"Colombia",1979,21.545105
"Colombia",1980,23.044971
"Colombia",1981,22.218885
"Colombia",1982,22.697723
"Colombia",1983,21.790188
"Colombia",1984,23.639833
"Colombia",1985,24.441961
"Colombia",1986,27.276325
"Colombia",1987,27.310854
"Colombia",1988,28.748077
"Colombia",1989,29.793999
"Colombia",1990,32.640934
"Colombia",1991,31.6998
"Colombia",1992,24.605455
"Colombia",1993,27.847397
"Colombia",1994,29.809082
"Colombia",1995,29.331577
"Colombia",1996,31.475914
"Colombia",1997,27.334064
"Colombia",1998,26.691463
"Colombia",1999,31.378248
"Colombia",2000,29.556067
"Colombia",2001,30.604485
"Colombia",2002,32.692554
"Colombia",2003,33.389133
"Colombia",2004,34.505455
"Colombia",2005,35.05353
"Colombia",2006,34.14272
"Colombia",2007,35.182762
"Colombia",2008,33.94141
"Colombia",2009,31.377745
"Colombia",2010,30.092037
"Colombia",2011,34.515675
"Colombia",2012,31.746134
"Colombia",2013,29.385107
"Colombia",2014,28.364685
"Colombia",2015,28.021618
"Colombia",2016,27.708813
"Colombia",2017,32.82906
"Colombia",2018,31.99955
"Colombia",2019,29.890343
"Colombia",2020,30.772787
"Colombia",2021,33.02041
"Suramerica",1965,11.023402
"Suramerica",1966,11.543426
"Suramerica",1967,11.78056
"Suramerica",1968,11.697652
"Suramerica",1969,12.044194
"Suramerica",1970,13.621983
"Suramerica",1971,14.387364
"Suramerica",1972,15.238756
"Suramerica",1973,15.491369
"Suramerica",1974,16.686647
"Suramerica",1975,17.77702
"Suramerica",1976,18.434004
"Suramerica",1977,19.282972
"Suramerica",1978,20.008823
"Suramerica",1979,21.088923
"Suramerica",1980,22.763828
"Suramerica",1981,23.091265
"Suramerica",1982,24.36981
"Suramerica",1983,25.906075
"Suramerica",1984,27.275818
"Suramerica",1985,28.324965
"Suramerica",1986,28.488626
"Suramerica",1987,29.28631
"Suramerica",1988,29.289913
"Suramerica",1989,29.606066
"Suramerica",1990,30.777649
"Suramerica",1991,31.83688
"Suramerica",1992,30.95373
"Suramerica",1993,31.998835
"Suramerica",1994,31.95983
"Suramerica",1995,31.717999
"Suramerica",1996,31.687614
"Suramerica",1997,31.808338
"Suramerica",1998,31.411379
"Suramerica",1999,31.232824
"Suramerica",2000,32.47872
"Suramerica",2001,30.829071
"Suramerica",2002,31.812138
"Suramerica",2003,32.69813
"Suramerica",2004,31.918701
"Suramerica",2005,32.54806
"Suramerica",2006,32.51109
"Suramerica",2007,32.020576
"Suramerica",2008,31.325287
"Suramerica",2009,32.41624
"Suramerica",2010,30.95347
"Suramerica",2011,31.315365
"Suramerica",2012,29.988754
"Suramerica",2013,28.540737
"Suramerica",2014,27.958807
"Suramerica",2015,28.051346
"Suramerica",2016,29.587042
"Suramerica",2017,30.41578
"Suramerica",2018,31.617079
"Suramerica",2019,32.166042
"Suramerica",2020,34.7553
"Suramerica",2021,32.356785